Judul,topics,probabilities
interactive mixed reality system pepper ghost system kendali gerakan tangan berbasis kinect,32,0.04330793795440433
optimasi penjadwalan mata pelajaran metode tabu searchstudi smkn singosari,43,0.2618566853019504
pengembangan push notification websocket,-1,0.0
pembangunan sistem informasi manajemen keluhan pelanggan berbasis webgisstudi outlet mcdonalds cabang watu gong malang,-1,0.0
implementasi metode store and forward hypertext transfer protocol http,56,1.0
implementasi webgis inventarisasi pulaustudi pulau lombok ntb,-1,0.0
sistem rekomendasi pemilihan sekolah menengah sederajat kota malang metode ahp electre topsis,-1,0.0
inverted pendulum prototipe mobil metode kendali proporsional intregatif derivatif,20,0.5648548841089545
perancangan implementasi real segway skateboard roda gyroscope accelerometer,-1,0.0
penyelesaian penjadwalan flexible job shop problem real coded genetic algorithm,19,0.5385383813640118
penentuan portofolio saham optimal algoritma genetika,-1,0.0
optimasi komposisi pakan sapi perah algoritma genetika,86,1.0
implementasi modified knearest neighbor otomatisasi nilai k pengklasifikasian penyakit tanaman kedelai,0,1.0
optimasi pemilihan pekerja bangunan proyek pt citra anggun pratama algoritma genetika,19,0.565532861204822
peramalan kunjungan wisatawan kota batu metode time invariant fuzzy time series,34,1.0
implementasi algoritma nearest insertion heuristic modified nearest insertion heuristic optimasi rute kendaraan pengangkut sampah studi dinas kebersihan pertamanan kota malang,83,0.6041479925617579
penerapan algoritma genetika optimasi vehicle routing problem with time window vrptw studi air minum kemasan,83,1.0
penilaian kualitas website egovernment pejabat pengelola informasi dokumentasi ppid dimensi egovqual studi dinas komunikasi informatika pemerintah kota probolinggo,-1,0.0
implementasi publishsubscribe delay tolerant network dtn,105,1.0
optimasi keanggotaan fuzzy tsukamoto algoritma genetika penentuan prioritas penerima zakat,-1,0.0
desain interaksi aplikasi pengendali smart home smartphone android,-1,0.0
implementasi sistem monitoring detak jantung suhu tubuh manusia wireless,36,0.7107081480444807
rancang bangun low power sensor node msp berbasis nrfl,-1,0.0
analisis perbandingan performa routing flooding convergecast wireless sensor network,-1,0.0
analisis fail path arsitektur software defined network dijkstra algorithm,48,1.0
deteksi tepi danau citra satelit metode canny,-1,0.0
perancangan sistem pemetaan ruangan dimensi sensor ultrasonik,39,0.38050644817212914
analisis perbandingan penetration testing tool aplikasi web,14,0.7847513928745043
sistem optimasi rute wisata kuliner malang algoritma bee colony,88,0.6815115362589794
implementasi mobile augmented reality aplikasi pemilihan sarana prasarana laboratorium sekolah menengah,8,1.0
rancang bangun sistem sortir buah apel sensor warna sensor suhu,-1,0.0
deteksi autisme anak metode modified knearest neighbor mknn,-1,0.0
optimasi penjadwalan perkuliahan hybrid discrete particle swarm optimization studi ptiik universitas brawijaya,47,1.0
pemanfaatan algoritma genetika optimasi multidimensional knapsack problem pendistribusian produk studi udtosa,19,0.3659540583565008
optimasi komposisi makanan penderita diabetes melitus komplikasinya algoritma genetika,24,0.8429233672752363
implementasi kendali palang pintu kereta api ir sensor nrfl,-1,0.0
sistem monitoring suhu kelembaban pengendali penyiraman tanaman hidroponik blynk android,65,1.0
pembangunan aplikasi mobile augmented reality rehabilitasi terkilir pergelangan kaki,8,0.8899414140793513
peringkasan literatur ilmu komputer bahasa indonesia berbasis fitur statistik linguistik metode gaussian naive bayes,43,0.3094616781148377
sistem pakar klasifikasi permasalahan berdasar aum fcmfis tsukamoto,1,1.0
implementasi gabungan metode bayesian backpropagation peramalan pengangguran terbuka indonesia,23,0.20465156548664148
prediksi pengangguran terbuka indonesia metode geneticbased backpropagation,23,0.19368341831843192
penentuan siswa berprestasi metode knearest neighbor weighted product studi smp negeri mejayan,37,1.0
sistem pendeteksi pencemaran udara ambien kawasan lumpur lapindo logika fuzzy,61,0.715815682112602
identifikasi penyakit tanaman jarak pagar metode fuzzy knearest neighbor fknn,0,0.9555674942161374
penerapan metode knearest neighbor knn metode weighted product wp penerimaan calon guru karyawan tata usaha berwawasan teknologi studi sekolah menengah kejuruan muhammadiyah kediri,37,0.5882061848147374
implementasi sistem kontrol monitoring ph tanaman kentang aeroponik wireless,120,1.0
pemodelan sistem pakar diagnosis penyakit tanaman apel metode backward chaining certainty factor,0,1.0
klasifikasi tweets twitter metode fuzzy knearest neighbour fuzzy knn query expansion berbasis apriori,6,1.0
perancangan pengendali rumah smartphone android konektivitas bluetooth,49,0.536646368928166
sistem pakar diagnosis penyakit demam dbd malaria tifoid metode knearest neighbor certainty factor,0,0.9539817564960718
sistem pendeteksi dehidrasi berdasarkan warna kadar amonia urin berbasis sensor tcs mq metode naive bayes,0,1.0
sistem kendali berbasis mikrokontroler protokol mqtt smarthome,-1,0.0
implementasi algoritma genetika penjadwalan customer service studi biro perjalanan kangoroo,19,0.4871798428298644
implementasi pengiriman data sensor lm perbandingan insert basis data mysql mongodb,-1,0.0
perbandingan membership model fuzzy perubahan suhu inkubator penetas telur,86,1.0
pengembangan sistem monitoring listrik ruangan nodemcu mqtt,-1,0.0
implementasi sensor akselerometer lengan manusia mengendalikan pergerakan lengan robot,20,0.517986643057816
deteksi kesalahan ejaan penentuan rekomendasi koreksi dokumen jurnal jtiik dictionary lookup dameraulevenshtein distance,43,0.23946125311607316
identifikasi penyakit diabetes mellitus metode modified knearest neighbor mknn,0,1.0
analisis penerimaan os windows unified theory of acceptance and use of technology utaut,26,0.7169969599097573
implementasi low power wireless sensor network pengukuran suhu berbasis nrf penjadwalan pengiriman data,-1,0.0
prediksi penerimaan zakat metode support vector regression svr flower pollination algorithm fpa,-1,0.0
implementasi wireless sensor network pemantauan kondisi struktur bangunan sensor accelerometer mma,15,0.7126231200063209
implementasi jaringan syaraf tiruan backpropagation mendiagnosis penyakit kulit anak,23,0.28320928167611703
pengembangan aplikasi health communication board berbasis kendali pergerakan linear hemocs head movement control system,32,0.05133797943829088
optimasi komposisi pakan penggemukan sapi potong algoritma genetika,86,1.0
pendeteksi jenis autis anak usia metode linear discriminant analysis lda,-1,0.0
analisis performansi skalabilitas eventbased iot middleware,-1,0.0
sistem pendukung keputusan penentuan tingkat keparahan autis metode fuzzy knearest neighbor,-1,0.0
pengembangan sistem informasi bimbingan konseling siswa smp negeri panarukan,11,0.6084843011755553
rancang bangun aplikasi messaging berbasis voice interaction penderita tunanetra sistem operasi android,94,1.0
