Issue ID,Judul,Penulis,Tahun
1,Interactive Mixed Reality System Menggunakan Pepper Ghost System dan Kendali Gerakan Tangan Berbasis Kinect,"Aristyo Pramana, Eriq Muh. Adams Jonemaro, Wibisono Sukmo Wardhono",31 Jan 2017
1,Optimasi Penjadwalan Mata Pelajaran Menggunakan Metode Tabu SearchSTUDI KASUS: SMKN 2 SINGOSARI,"Olive Khoirul L.M.A., Agus Wahyu Widodo, Budi Darma Setiawan",31 Jan 2017
1,Pengembangan Push Notification Menggunakan Websocket,"Andrias Yudianto, Eko Sakti Pramukantoro, Kasyful Amron",31 Jan 2017
1,"Pembangunan Sistem Informasi Manajemen Keluhan Pelanggan Berbasis WebGisSTUDI KASUS : OUTLET MCDONALD'S CABANG WATU GONG, MALANG","Adzanil Rachmadi P, Fatwa Ramdani, Retno Indah Rokhmawati",31 Jan 2017
1,Implementasi Metode Store and Forward Pada Hypertext Transfer Protocol (HTTP),"Muhammad Gigih Wicaksono, Aswin Suharsono, Adhitya Bhawiyuga",31 Jan 2017
1,"Implementasi WebGis Untuk Inventarisasi PulauSTUDI KASUS PULAU LOMBOK, NTB","Adi Nugroho, Fatwa Ramdani, Retno Indah Rokhmawati",31 Jan 2017
1,Sistem Rekomendasi Pemilihan Sekolah Menengah Atas Sederajat Kota Malang Menggunakan Metode AHP Electre dan Topsis,"Ibnu Aqli, Dian Eka Ratnawati, Mahendra Data",31 Jan 2017
1,Inverted Pendulum Pada Prototipe Mobil Dengan Metode Kendali Proporsional Intregatif Derivatif,"Sigit Priyo Jatmiko, Wijaya Kurniawan, Barlian Henryranu Prasetio",31 Jan 2017
1,Perancangan dan Implementasi Real Segway Pada Skateboard Roda Satu Menggunakan Gyroscope dan Accelerometer,"Muhammad Kholis Fikri, Barlian Henryanu Prasetio, Rizal Maulana",31 Jan 2017
1,Penyelesaian Penjadwalan Flexible Job Shop Problem Menggunakan Real Coded Genetic Algorithm,"M Chandra Cahyo Utomo, Wayan Firdaus Mahmudy, Marji Marji",31 Jan 2017
1,Penentuan Portofolio Saham Optimal Menggunakan Algoritma Genetika,"Rinda Wahyuni, Wayan Firdaus Mahmudy, Budi Darma Setiawan",31 Jan 2017
1,Optimasi Komposisi Pakan Sapi Perah Menggunakan Algoritma Genetika,"Durrotul Fakhiroh, Wayan Firdaus Mahmudy, Indriati Indriati",31 Jan 2017
1,Halaman Sampul,J-PTIIK J-PTIIK,31 Jan 2017
2,Implementasi Modified K-Nearest Neighbor Dengan Otomatisasi Nilai K Pada Pengklasifikasian Penyakit Tanaman Kedelai,"Tri Halomoan Simanjuntak, Wayan Firdaus Mahmudy, Sutrisno Sutrisno",28 Feb 2017
2,Optimasi Pemilihan Pekerja Bangunan Proyek Pada PT. Citra Anggun Pratama Menggunakan Algoritma Genetika,"Arviananda Bahtiar, Wayan Firdaus Mahmudy",28 Feb 2017
2,Peramalan Jumlah Kunjungan Wisatawan Kota Batu Menggunakan Metode Time Invariant Fuzzy Time Series,"Aria Bayu Elfajar, Budi Darma Setiawan, Candra Dewi",28 Feb 2017
2,Implementasi Algoritma Nearest Insertion Heuristic dan Modified Nearest Insertion Heuristic Pada Optimasi Rute Kendaraan Pengangkut Sampah (Studi Kasus: Dinas Kebersihan dan Pertamanan Kota Malang),"Dea Widya Hutami, Wayan Firdaus Mahmudy, Marji Marji",28 Feb 2017
2,Penerapan Algoritma Genetika untuk Optimasi Vehicle Routing Problem with Time Window (VRPTW) Studi Kasus Air Minum Kemasan,"Dita Sundarningsih, Wayan Firdaus Mahmudy, Sutrisno Sutrisno",28 Feb 2017
2,Penilaian Kualitas Website E-Government Pejabat Pengelola Informasi dan Dokumentasi (PPID) Dengan Dimensi e-GovQual (Studi Pada Dinas Komunikasi dan Informatika Pemerintah Kota Probolinggo),"Sri Eko Wahyudi, Aryo Pinandito, Mochamad Chandra Saputra",28 Feb 2017
2,Implementasi Publish-Subscribe pada Delay Tolerant Network (DTN),"Rembulan Suci Fii Jannatin, Aswin Suharsono, Adhitya Bhawiyuga",28 Feb 2017
2,Optimasi Keanggotaan Fuzzy Tsukamoto Menggunakan Algoritma Genetika pada Penentuan Prioritas Penerima Zakat,"Alfiani Fitri, Wayan Firdaus Mahmudy",28 Feb 2017
2,Desain Interaksi Aplikasi Pengendali Smart Home Menggunakan Smartphone Android,"Tri Oktavia Mayasari, Edita Rosana Widasari, Hurriyatul Fitriyah",28 Feb 2017
2,Implementasi Sistem Monitoring  Detak Jantung dan Suhu Tubuh Manusia Secara Wireless,"Muhlis Agung Saputro, Edita Rosana Widasari, Hurriyatul Fitriyah",28 Feb 2017
2,Halaman Sampul,J-PTIIK J-PTIIK,28 Feb 2017
3,Rancang Bangun Low Power Sensor Node Menggunakan MSP430 Berbasis NRF24L01,"Rizky Putra Pratama, Sabriansyah Rizqika Akbar, Adhitya Bhawiyuga",31 Mar 2017
3,Analisis Perbandingan Performa Routing Flooding dan Convergecast Pada Wireless Sensor Network,"Syifaul Hud'riyah, Rakhmadhany Primananda, Sabriansyah Rizqika Akbar",31 Mar 2017
3,Analisis Fail Path Pada Arsitektur Software Defined Network Menggunakan Dijkstra Algorithm,"Eka Putri Aprilianingsih, Rakhmadhany Primananda, Aswin Suharsono",31 Mar 2017
3,Deteksi Tepi Danau Pada Citra Satelit Menggunakan Metode Canny,"Koko Pradityo, Budi Darma Setiawan, Randy Cahya Wihandika",31 Mar 2017
3,Perancangan Sistem Pemetaan Ruangan Secara Dua Dimensi Menggunakan Sensor Ultrasonik,"Ricky Prasetya Santoso, Wijaya Kurniawan, Gembong Edhi Setyawan",31 Mar 2017
3,Analisis Perbandingan Penetration Testing Tool Untuk Aplikasi Web,"Bhaskara Vito Tarigan, Ari Kusyanti, Widhi Yahya",31 Mar 2017
3,Sistem Optimasi Rute Tempat Wisata Kuliner Di Malang Menggunakan Algoritma Bee Colony,"Muhammad Arif Hermawan, Nurul Hidayat, Budi Darma Setiawan",31 Mar 2017
3,Implementasi Mobile Augmented Reality Pada Aplikasi Pemilihan Sarana Dan Prasarana Laboratorium Sekolah Menengah Atas,"Dimas Setyo Utomo, Issa Arwani, Wibisono Sukmo Wardhono",31 Mar 2017
3,Rancang Bangun Sistem Sortir Buah Apel Menggunakan Sensor Warna Dan Sensor Suhu,"Mohammad Fauzin Amin, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",31 Mar 2017
3,Deteksi Autisme pada Anak Menggunakan Metode Modified K-Nearest Neighbor (MKNN),"Zahra Swastika Putri, Rekyan Regasari Mardi Putri, Indriati Indriati",31 Mar 2017
3,Halaman Sampul,J-PTIIK J-PTIIK,31 Mar 2017
4,Optimasi Penjadwalan Perkuliahan Dengan Menggunakan Hybrid Discrete Particle Swarm Optimization (Studi Kasus: PTIIK Universitas Brawijaya),"Muhammad Syafiq, Imam Cholissodin, Himawat Aryadita",30 Apr 2017
4,Pemanfaatan Algoritma Genetika Untuk Optimasi 0/1 Multi-Dimensional Knapsack Problem Dalam Pendistribusian Produk (Studi Kasus UD.TOSA),"Ryan Iriany, Agus Wahyu Widodo, Wayan Firdaus Mahmudy",30 Apr 2017
4,Optimasi Komposisi Makanan Pada Penderita Diabetes Melitus dan Komplikasinya Menggunakan Algoritma Genetika,"Maryamah Maryamah, Rekyan Regasari Mardi Putri, Satrio Agung Wicaksono",30 Apr 2017
4,Implementasi Kendali Palang Pintu Kereta Api Menggunakan IR Sensor dan NRF24L01,"Bagus Priyo Pangestu, Barlian Henryranu Prasetio, Gembong Edhi Setyawan",30 Apr 2017
4,"Sistem Monitoring Suhu, Kelembaban, dan Pengendali Penyiraman Tanaman Hidroponik menggunakan Blynk Android","Wahyu Adi Prayitno, Adharul Muttaqin, Dahnial Syauqy",30 Apr 2017
4,Pembangunan Aplikasi Mobile Augmented Reality untuk Rehabilitasi Terkilir pada Pergelangan Kaki,"Muhammad Indra Harjunada, Issa Arwani, Marji Marji",30 Apr 2017
4,Peringkasan Literatur Ilmu Komputer Bahasa Indonesia Berbasis Fitur Statistik dan Linguistik menggunakan Metode Gaussian Naive Bayes,"Muhammad Fhadli, Mochammad Ali Fauzi, Tri Afirianto",30 Apr 2017
4,Sistem Pakar Klasifikasi Permasalahan Berdasar AUM Menggunakan FCM-FIS Tsukamoto,"Ainun Najib Eka Christianto, Rekyan Regasari Mardi Putri, Agus Wahyu Widodo",30 Apr 2017
4,Implementasi Gabungan Metode Bayesian dan Backpropagation untuk Peramalan Jumlah Pengangguran Terbuka di Indonesia,"Yure Firdaus Arifin, Dian Eka Ratnawati, Putra Pandu Adikara",30 Apr 2017
