Issue ID,Judul
1,Interactive Mixed Reality System Menggunakan Pepper Ghost System dan Kendali Gerakan Tangan Berbasis Kinect
1,Optimasi Penjadwalan Mata Pelajaran Menggunakan Metode Tabu SearchSTUDI KASUS: SMKN 2 SINGOSARI
1,Pengembangan Push Notification Menggunakan Websocket
1,"Pembangunan Sistem Informasi Manajemen Keluhan Pelanggan Berbasis WebGisSTUDI KASUS : OUTLET MCDONALD'S CABANG WATU GONG, MALANG"
1,Implementasi Metode Store and Forward Pada Hypertext Transfer Protocol (HTTP)
1,"Implementasi WebGis Untuk Inventarisasi PulauSTUDI KASUS PULAU LOMBOK, NTB"
1,Sistem Rekomendasi Pemilihan Sekolah Menengah Atas Sederajat Kota Malang Menggunakan Metode AHP Electre dan Topsis
1,Inverted Pendulum Pada Prototipe Mobil Dengan Metode Kendali Proporsional Intregatif Derivatif
1,Perancangan dan Implementasi Real Segway Pada Skateboard Roda Satu Menggunakan Gyroscope dan Accelerometer
1,Penyelesaian Penjadwalan Flexible Job Shop Problem Menggunakan Real Coded Genetic Algorithm
1,Penentuan Portofolio Saham Optimal Menggunakan Algoritma Genetika
1,Optimasi Komposisi Pakan Sapi Perah Menggunakan Algoritma Genetika
1,Halaman Sampul
2,Implementasi Modified K-Nearest Neighbor Dengan Otomatisasi Nilai K Pada Pengklasifikasian Penyakit Tanaman Kedelai
2,Optimasi Pemilihan Pekerja Bangunan Proyek Pada PT. Citra Anggun Pratama Menggunakan Algoritma Genetika
2,Peramalan Jumlah Kunjungan Wisatawan Kota Batu Menggunakan Metode Time Invariant Fuzzy Time Series
2,Implementasi Algoritma Nearest Insertion Heuristic dan Modified Nearest Insertion Heuristic Pada Optimasi Rute Kendaraan Pengangkut Sampah (Studi Kasus: Dinas Kebersihan dan Pertamanan Kota Malang)
2,Penerapan Algoritma Genetika untuk Optimasi Vehicle Routing Problem with Time Window (VRPTW) Studi Kasus Air Minum Kemasan
2,Penilaian Kualitas Website E-Government Pejabat Pengelola Informasi dan Dokumentasi (PPID) Dengan Dimensi e-GovQual (Studi Pada Dinas Komunikasi dan Informatika Pemerintah Kota Probolinggo)
2,Implementasi Publish-Subscribe pada Delay Tolerant Network (DTN)
2,Optimasi Keanggotaan Fuzzy Tsukamoto Menggunakan Algoritma Genetika pada Penentuan Prioritas Penerima Zakat
2,Desain Interaksi Aplikasi Pengendali Smart Home Menggunakan Smartphone Android
2,Implementasi Sistem Monitoring  Detak Jantung dan Suhu Tubuh Manusia Secara Wireless
2,Halaman Sampul
3,Rancang Bangun Low Power Sensor Node Menggunakan MSP430 Berbasis NRF24L01
3,Analisis Perbandingan Performa Routing Flooding dan Convergecast Pada Wireless Sensor Network
3,Analisis Fail Path Pada Arsitektur Software Defined Network Menggunakan Dijkstra Algorithm
3,Deteksi Tepi Danau Pada Citra Satelit Menggunakan Metode Canny
3,Perancangan Sistem Pemetaan Ruangan Secara Dua Dimensi Menggunakan Sensor Ultrasonik
3,Analisis Perbandingan Penetration Testing Tool Untuk Aplikasi Web
3,Sistem Optimasi Rute Tempat Wisata Kuliner Di Malang Menggunakan Algoritma Bee Colony
3,Implementasi Mobile Augmented Reality Pada Aplikasi Pemilihan Sarana Dan Prasarana Laboratorium Sekolah Menengah Atas
3,Rancang Bangun Sistem Sortir Buah Apel Menggunakan Sensor Warna Dan Sensor Suhu
3,Deteksi Autisme pada Anak Menggunakan Metode Modified K-Nearest Neighbor (MKNN)
3,Halaman Sampul
4,Optimasi Penjadwalan Perkuliahan Dengan Menggunakan Hybrid Discrete Particle Swarm Optimization (Studi Kasus: PTIIK Universitas Brawijaya)
4,Pemanfaatan Algoritma Genetika Untuk Optimasi 0/1 Multi-Dimensional Knapsack Problem Dalam Pendistribusian Produk (Studi Kasus UD.TOSA)
4,Optimasi Komposisi Makanan Pada Penderita Diabetes Melitus dan Komplikasinya Menggunakan Algoritma Genetika
4,Implementasi Kendali Palang Pintu Kereta Api Menggunakan IR Sensor dan NRF24L01
4,"Sistem Monitoring Suhu, Kelembaban, dan Pengendali Penyiraman Tanaman Hidroponik menggunakan Blynk Android"
4,Pembangunan Aplikasi Mobile Augmented Reality untuk Rehabilitasi Terkilir pada Pergelangan Kaki
4,Peringkasan Literatur Ilmu Komputer Bahasa Indonesia Berbasis Fitur Statistik dan Linguistik menggunakan Metode Gaussian Naive Bayes
4,Sistem Pakar Klasifikasi Permasalahan Berdasar AUM Menggunakan FCM-FIS Tsukamoto
