Judul,Penulis,Tahun,topics,probabilities
mixed reality system pepper ghost system kendali gerakan tangan berbasis kinect,"Aristyo Pramana, Eriq Muh. Adams Jonemaro, Wibisono Sukmo Wardhono",31 Jan 2017,37,0.08697070645401205
penjadwalan mata pelajaran metode tabu searchstudi smkn singosari,"Olive Khoirul L.M.A., Agus Wahyu Widodo, Budi Darma Setiawan",31 Jan 2017,-1,0.0
push notification websocket,"Andrias Yudianto, Eko Sakti Pramukantoro, Kasyful Amron",31 Jan 2017,-1,0.0
sistem informasi manajemen keluhan pelanggan berbasis webgisstudi outlet mcdonalds cabang watu gong malang,"Adzanil Rachmadi P, Fatwa Ramdani, Retno Indah Rokhmawati",31 Jan 2017,-1,0.0
metode store and forward hypertext transfer protocol http,"Muhammad Gigih Wicaksono, Aswin Suharsono, Adhitya Bhawiyuga",31 Jan 2017,108,1.0
webgis inventarisasi pulaustudi pulau lombok ntb,"Adi Nugroho, Fatwa Ramdani, Retno Indah Rokhmawati",31 Jan 2017,-1,0.0
rekomendasi pemilihan sekolah menengah sederajat kota malang metode ahp electre topsis,"Ibnu Aqli, Dian Eka Ratnawati, Mahendra Data",31 Jan 2017,-1,0.0
pendulum prototipe mobil metode kendali proporsional intregatif derivatif,"Sigit Priyo Jatmiko, Wijaya Kurniawan, Barlian Henryranu Prasetio",31 Jan 2017,17,0.4055097494374979
implementasi real segway skateboard roda gyroscope accelerometer,"Muhammad Kholis Fikri, Barlian Henryanu Prasetio, Rizal Maulana",31 Jan 2017,-1,0.0
penjadwalan flexible job shop problem real coded genetic algorithm,"M Chandra Cahyo Utomo, Wayan Firdaus Mahmudy, Marji Marji",31 Jan 2017,4,0.7277913242254356
portofolio saham optimal algoritma genetika,"Rinda Wahyuni, Wayan Firdaus Mahmudy, Budi Darma Setiawan",31 Jan 2017,4,0.1751036831760032
komposisi pakan sapi perah algoritma genetika,"Durrotul Fakhiroh, Wayan Firdaus Mahmudy, Indriati Indriati",31 Jan 2017,52,1.0
modified knearest neighbor otomatisasi nilai k pengklasifikasian penyakit tanaman kedelai,"Tri Halomoan Simanjuntak, Wayan Firdaus Mahmudy, Sutrisno Sutrisno",28 Feb 2017,1,1.0
pemilihan pekerja bangunan proyek pt citra anggun pratama algoritma genetika,"Arviananda Bahtiar, Wayan Firdaus Mahmudy",28 Feb 2017,4,0.7277913242254356
kunjungan wisatawan kota batu metode time invariant fuzzy time series,"Aria Bayu Elfajar, Budi Darma Setiawan, Candra Dewi",28 Feb 2017,25,0.9030897510773389
algoritma nearest insertion heuristic modified nearest insertion heuristic optimasi rute kendaraan pengangkut sampah studi dinas kebersihan pertamanan kota malang,"Dea Widya Hutami, Wayan Firdaus Mahmudy, Marji Marji",28 Feb 2017,87,1.0
algoritma genetika optimasi vehicle routing problem with time window vrptw studi air minum kemasan,"Dita Sundarningsih, Wayan Firdaus Mahmudy, Sutrisno Sutrisno",28 Feb 2017,87,1.0
kualitas website egovernment pejabat pengelola informasi dokumentasi ppid dimensi egovqual studi dinas komunikasi informatika pemerintah kota probolinggo,"Sri Eko Wahyudi, Aryo Pinandito, Mochamad Chandra Saputra",28 Feb 2017,120,1.0
publishsubscribe delay tolerant network dtn,"Rembulan Suci Fii Jannatin, Aswin Suharsono, Adhitya Bhawiyuga",28 Feb 2017,101,1.0
keanggotaan fuzzy tsukamoto algoritma genetika penentuan prioritas penerima zakat,"Alfiani Fitri, Wayan Firdaus Mahmudy",28 Feb 2017,25,0.06139671717988237
interaksi aplikasi pengendali smart home smartphone android,"Tri Oktavia Mayasari, Edita Rosana Widasari, Hurriyatul Fitriyah",28 Feb 2017,102,0.8869791681920935
sistem monitoring detak jantung suhu tubuh manusia wireless,"Muhlis Agung Saputro, Edita Rosana Widasari, Hurriyatul Fitriyah",28 Feb 2017,23,1.0
bangun low power sensor node msp berbasis nrfl,"Rizky Putra Pratama, Sabriansyah Rizqika Akbar, Adhitya Bhawiyuga",31 Mar 2017,-1,0.0
perbandingan performa routing flooding convergecast wireless sensor network,"Syifaul Hud'riyah, Rakhmadhany Primananda, Sabriansyah Rizqika Akbar",31 Mar 2017,-1,0.0
fail path arsitektur software defined network dijkstra algorithm,"Eka Putri Aprilianingsih, Rakhmadhany Primananda, Aswin Suharsono",31 Mar 2017,45,1.0
tepi danau citra satelit metode canny,"Koko Pradityo, Budi Darma Setiawan, Randy Cahya Wihandika",31 Mar 2017,-1,0.0
sistem pemetaan ruangan dimensi sensor ultrasonik,"Ricky Prasetya Santoso, Wijaya Kurniawan, Gembong Edhi Setyawan",31 Mar 2017,123,1.0
perbandingan penetration testing tool aplikasi web,"Bhaskara Vito Tarigan, Ari Kusyanti, Widhi Yahya",31 Mar 2017,0,1.0
optimasi rute wisata kuliner malang algoritma bee colony,"Muhammad Arif Hermawan, Nurul Hidayat, Budi Darma Setiawan",31 Mar 2017,97,0.8617354892342077
mobile augmented reality aplikasi pemilihan sarana prasarana laboratorium sekolah menengah,"Dimas Setyo Utomo, Issa Arwani, Wibisono Sukmo Wardhono",31 Mar 2017,8,1.0
bangun sistem sortir buah apel sensor warna sensor suhu,"Mohammad Fauzin Amin, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",31 Mar 2017,-1,0.0
autisme anak metode modified knearest neighbor mknn,"Zahra Swastika Putri, Rekyan Regasari Mardi Putri, Indriati Indriati",31 Mar 2017,114,1.0
penjadwalan perkuliahan hybrid discrete particle swarm optimization studi ptiik universitas brawijaya,"Muhammad Syafiq, Imam Cholissodin, Himawat Aryadita",30 Apr 2017,50,1.0
algoritma genetika optimasi multidimensional knapsack problem pendistribusian produk studi udtosa,"Ryan Iriany, Agus Wahyu Widodo, Wayan Firdaus Mahmudy",30 Apr 2017,4,0.3653354536026326
